date,directionCode,r_11,r_12,r_13,r_14,r_1e,r_21,r_22,r_23,r_24,r_2e,r_31,r_32,r_33,r_34,r_3e,r_41,r_42,r_43,r_44,r_4e,totalActivitiesRefcircle,totalCustomersRefcircle,dayname,weekend,transactCount,totalRevenue,Seats,Parking_slots,type_dtsf,mtype,isholiday,region,deltaRevenue
30/01/2020,1,0.824691358,0.25,0.157894737,0.103975535,0.111111111,0.25,0.785714286,0.428571429,0,0.047619048,0.078947368,0.285714286,0.844720497,0.156862745,0,0.119266055,1,0.137254902,0.630769231,0.061538462,1832,713,Thu,no,149,69860,86,0,SF,Hyper,no,4,3.797675749
8/08/2019,1,0.639810427,0.093023256,0.153846154,0.097911227,0.082148499,0.162790698,0.807407407,0.21875,0.227272727,0.014814815,0.134615385,0.3125,0.890776699,0.136986301,0.007281553,0.09921671,0.227272727,0.205479452,0.639876352,0.041731066,3492,1555,Thu,no,138,75380,86,0,SF,Hyper,no,4,-5.459000373
9/09/2019,1,0.805869074,0.166666667,0.105263158,0.064587973,0.090293454,0.125,0.857142857,0.307692308,0,0,0.157894737,0.307692308,0.894117647,0.208333333,0.002941176,0.124721604,0.25,0.1875,0.738764045,0.028089888,2378,1128,Mon,no,117,56750,86,0,SF,Hyper,no,4,-11.50070482
12/01/2020,1,0.824691358,0,0.111111111,0.104972376,0.111111111,1,0.903225806,0,0,0,0.185185185,0.5,0.835051546,0.315789474,0,0.127071823,0,0.210526316,0.658878505,0.074766355,1798,664,Sun,yes,121,69560,86,0,SF,Hyper,no,4,19.75226469
23/01/2020,1,0.809782609,0.133333333,0.214285714,0.103030303,0.125,0.133333333,0.761904762,0.133333333,0,0,0.214285714,0.2,0.857142857,0.333333333,0.015037594,0.13030303,1,0.166666667,0.655502392,0.057416268,1767,666,Thu,no,158,74140,86,0,SF,Hyper,no,4,6.927763973
2/11/2019,1,0.896551724,0.173913043,0.058823529,0.230769231,0.137931034,0.260869565,0.704545455,0.214285714,0,0.045454545,0.098039216,0.142857143,0.923357664,0.12,0.003649635,0.230769231,0,0.28,0.680851064,0,1219,532,Sat,yes,123,116190,100,37,DT,Urban,no,6,-4.485640346
22/02/2020,1,0.853846154,0.062770563,0.121212121,0.130434783,0.130769231,0.086580087,0.767123288,0.14084507,0.094594595,0.01369863,0.106060606,0.169014085,0.772908367,0.112299465,0.015936255,0.095652174,0.087837838,0.13368984,0.731092437,0.004201681,3592,1225,Sat,yes,161,166460,60,61,DT,Suburban,no,7,32.2072905
8/08/2019,4,0.863453815,0.153846154,0,0.181818182,0.008032129,0.166666667,0.893401015,0.101449275,0.073170732,0,0.363636364,0.202898551,0.84,0.123287671,0.007272727,0.163636364,0.073170732,0.068493151,0.917021277,0.05106383,2830,1306,Thu,no,75,29370,158,0,SF,Hyper,no,3,-19.14352326
22/07/2019,4,0.852216749,0.25,0.133333333,0.217391304,0,0.196428571,0.892063492,0.128205128,0.093023256,0.006349206,0.2,0.179487179,0.871134021,0.196428571,0,0.217391304,0.139534884,0.107142857,0.93495935,0.06504065,2329,1142,Mon,no,78,30830,158,0,SF,Hyper,no,3,-2.266471234
15/02/2020,3,0.808491418,0.101010101,0.061111111,0.060301508,0.003613369,0.075757576,0.782280867,0.065546218,0.126315789,0.035815269,0.058333333,0.114285714,0.694139194,0.121212121,0,0.103852596,0.115789474,0.115151515,0.78313253,0,9243,3059,Sat,yes,107,131000,120,31,DT,Urban,no,1,22.05265015
22/03/2019,1,0.947247706,0.35,0.028571429,0.230769231,0.032110092,0.3,0.901515152,0.269230769,0,0.011363636,0.2,0.192307692,0.803468208,0.126106195,0.003853565,0.230769231,0.5,0.132743363,0.643678161,0,2416,1356,Fri,no,119,49920,73,0,SF,Hyper,no,8,-13.29577919
21/12/2019,3,0.634920635,0.285714286,0,0.170212766,0,0.285714286,0.916256158,0.095238095,0.333333333,0.098522167,0.5,0.142857143,0.607142857,0.086021505,0.071428571,0.042553191,0.333333333,0.053763441,0.835051546,0,1348,468,Sat,yes,57,56430,110,1500,Mall,Suburban,no,9,-43.71326771
4/01/2020,3,0.660377358,0,1,0.107142857,0,0.125,0.934065934,0.083333333,0.230769231,0.115384615,0,0.145833333,0.705882353,0.090909091,0.058823529,0.014285714,0.076923077,0.068181818,0.847682119,0,1169,402,Sat,yes,47,39500,110,1500,Mall,Suburban,no,9,-35.14795385
22/02/2020,3,0.48,0.142857143,0.090909091,0.153005464,0,0.238095238,0.87434555,0.092592593,0.105263158,0.146596859,0.181818182,0.12962963,0.586956522,0.212121212,0.043478261,0.021857923,0.070175439,0.060606061,0.805907173,0.004219409,1556,482,Sat,yes,62,46760,110,1500,Mall,Suburban,no,9,-16.72123186
23/09/2018,3,0.866666667,0.159722222,0.1,0.146666667,0.006504065,0.076388889,0.839622642,0.109375,0.25,0.050314465,0.166666667,0.171875,0.848580442,0.109677419,0.003154574,0.113333333,0.083333333,0.04516129,0.910533911,0.002886003,4053,1819,Sun,yes,58,30370,151,0,SF,Hyper,yes,8,-2.626519243
2/11/2018,3,0.902727273,0.185393258,0.211538462,0.157407407,0.010909091,0.08988764,0.866242038,0.078431373,0.102564103,0.061571125,0.153846154,0.196078431,0.840136054,0.2,0,0.092592593,0.102564103,0.128571429,0.893706294,0.001398601,4637,2431,Fri,no,100,44670,151,0,SF,Hyper,no,8,23.94106675
